REG (UE) 651/2014, DE 17 DE JUNIO, DE EXENCION DE NOTIFICACION
REG (UE) 1407/2013 DE MINIMIS, GENERAL
PRODUCCION AGRICOLA PRIMARIA - REG (UE) 2022/2472, DE 14 DE DICIEMBRE, DE EXENCION DE NOTIFICACION (VIGENTE DESDE 01-01-2023)
REG (UE) 2023/2831 DE MINIMIS, GENERAL
REG (UE) 1408/2013 DE MINIMIS, AGRICOLA
