codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
543412,2021-01-05,L,pending,,,0
543413,2021-01-05,L,pending,,,0
543414,2021-01-05,L,pending,,,0
543415,2021-01-05,L,pending,,,0
543416,2021-01-05,L,pending,,,0
543417,2021-01-05,L,pending,,,0
543418,2021-01-05,L,pending,,,0
543419,2021-01-05,L,pending,,,0
543420,2021-01-05,L,pending,,,0
543421,2021-01-05,L,pending,,,0
543422,2021-01-05,L,pending,,,0
543423,2021-01-05,L,pending,,,0
543424,2021-01-05,L,pending,,,0
543425,2021-01-05,L,pending,,,0
543426,2021-01-05,L,pending,,,0
543427,2021-01-05,L,pending,,,0
543428,2021-01-05,L,pending,,,0
543429,2021-01-05,L,pending,,,0
543430,2021-01-05,L,pending,,,0
543431,2021-01-05,L,pending,,,0
543432,2021-01-05,L,pending,,,0
543433,2021-01-05,L,pending,,,0
543434,2021-01-05,L,pending,,,0
543435,2021-01-05,L,pending,,,0
543436,2021-01-05,L,pending,,,0
543437,2021-01-05,L,pending,,,0
543438,2021-01-05,L,pending,,,0
543439,2021-01-05,L,pending,,,0
543440,2021-01-05,L,pending,,,0
543442,2021-01-05,L,pending,,,0
543443,2021-01-05,L,pending,,,0
543444,2021-01-05,L,pending,,,0
543445,2021-01-05,L,pending,,,0
543446,2021-01-05,L,pending,,,0
543447,2021-01-05,L,pending,,,0
543448,2021-01-05,L,pending,,,0
543449,2021-01-05,L,pending,,,0
543451,2021-01-05,L,pending,,,0
543452,2021-01-05,L,pending,,,0
543453,2021-01-05,L,pending,,,0
543455,2021-01-05,L,pending,,,0
543456,2021-01-05,L,pending,,,0
543457,2021-01-05,L,pending,,,0
543458,2021-01-05,L,pending,,,0
543459,2021-01-05,L,pending,,,0
543460,2021-01-05,L,pending,,,0
543461,2021-01-05,L,pending,,,0
543462,2021-01-05,L,pending,,,0
543463,2021-01-05,L,pending,,,0
543464,2021-01-05,L,pending,,,0
543465,2021-01-05,L,pending,,,0
543466,2021-01-05,L,pending,,,0
543467,2021-01-05,L,pending,,,0
543468,2021-01-05,L,pending,,,0
543470,2021-01-05,L,pending,,,0
543471,2021-01-05,L,pending,,,0
543472,2021-01-05,L,pending,,,0
543473,2021-01-05,L,pending,,,0
543475,2021-01-07,L,pending,,,0
543476,2021-01-07,L,pending,,,0
543477,2021-01-07,L,pending,,,0
543478,2021-01-07,L,pending,,,0
543479,2021-01-07,L,pending,,,0
543481,2021-01-07,L,pending,,,0
543482,2021-01-07,L,pending,,,0
543484,2021-01-07,L,pending,,,0
543485,2021-01-07,L,pending,,,0
543486,2021-01-07,L,pending,,,0
543487,2021-01-07,L,pending,,,0
543488,2021-01-07,L,pending,,,0
543489,2021-01-07,L,pending,,,0
543490,2021-01-07,L,pending,,,0
543491,2021-01-07,L,pending,,,0
543492,2021-01-07,L,pending,,,0
543493,2021-01-07,L,pending,,,0
543494,2021-01-07,L,pending,,,0
543495,2021-01-07,L,pending,,,0
543496,2021-01-07,L,pending,,,0
543497,2021-01-07,L,pending,,,0
543498,2021-01-07,L,pending,,,0
543499,2021-01-07,L,pending,,,0
543501,2021-01-07,L,pending,,,0
543502,2021-01-07,L,pending,,,0
543503,2021-01-07,L,pending,,,0
543504,2021-01-07,L,pending,,,0
543506,2021-01-07,L,pending,,,0
543507,2021-01-07,L,pending,,,0
543508,2021-01-07,L,pending,,,0
543509,2021-01-07,L,pending,,,0
543510,2021-01-07,L,pending,,,0
543514,2021-01-07,L,pending,,,0
